,id,texto,Re_tweet
42,42,RT @metatreze: #AgoraÉGreve @itau @santander_br @Bradesco @bancopan @BancoOriginal @Bancointer @BancodoBrasil @BancoOriginal @FEBRABAN http…,S
43,43,"RT @nandomtts: Não aceitarmos desrespeito contra @s trabalhadorxs. 

#AgoraÉGreve
@santander_br @Bradesco  @itau @bancosafra  @BancodoBrasi…",S
44,44,"@bancopan Quero entrar na minha conta, esqueci a senha, eu busco recurso no app é só aparece isso. Resolva. https://t.co/OZSycLec0a",N
45,45,"RT @nandomtts: Não aceitarmos desrespeito contra @s trabalhadorxs. 

#AgoraÉGreve
@santander_br @Bradesco  @itau @bancosafra  @BancodoBrasi…",S
46,46,"RT @nandomtts: Não aceitarmos desrespeito contra @s trabalhadorxs. 

#AgoraÉGreve
@santander_br @Bradesco  @itau @bancosafra  @BancodoBrasi…",S
47,47,"@bancopan Egito, pois meu futuro marido mora lá",N
48,48,"@nandomtts @spbancarios @s @santander_br @Bradesco @itau @bancosafra @BancodoBrasil @bancopan @BancoOriginal @FEBRABAN @Banrisul #grevedosbancarios2022 
#propostadecenteougreve #agoraégreve",N
49,49,"@nandomtts @spbancarios @s @santander_br @Bradesco @itau @bancosafra @BancodoBrasil @bancopan @BancoOriginal @FEBRABAN @Banrisul #grevedosbancarios2022 
#propostadecenteougreve #agoraégreve",N
50,50,@nandomtts @s @santander_br @Bradesco @itau @bancosafra @BancodoBrasil @bancopan @BancoOriginal @FEBRABAN @Banrisul #AgoraÉGreve https://t.co/Ad6sKBfn7j,N
51,51,"RT @nandomtts: Não aceitarmos desrespeito contra @s trabalhadorxs. 

#AgoraÉGreve
@santander_br @Bradesco  @itau @bancosafra  @BancodoBrasi…",S
52,52,@bancopan Dubai 😍,N
53,53,Liguei 4x na central do @bancopan e a ligação simplesmente cai quando alguém atende 🤡,N
54,54,@bancopan Suíça,N
55,55,RT @diogenes_fran: @metatreze @itau @santander_br @Bradesco @bancopan @BancoOriginal @Bancointer @BancodoBrasil @FEBRABAN #AgoraÉGreve!,S
56,56,RT @metatreze: #AgoraÉGreve @itau @santander_br @Bradesco @bancopan @BancoOriginal @Bancointer @BancodoBrasil @BancoOriginal @FEBRABAN http…,S
57,57,"RT @bancopan: Se sua vida financeira fosse um jogo, em qual fase você estaria? 🤔
1. Iniciou a 1ª fase - fez as compras do mês. ✅ 
2. Enfren…",S
58,58,"RT @nandomtts: Não aceitarmos desrespeito contra @s trabalhadorxs. 

#AgoraÉGreve
@santander_br @Bradesco  @itau @bancosafra  @BancodoBrasi…",S
59,59,"RT @nandomtts: Não aceitarmos desrespeito contra @s trabalhadorxs. 

#AgoraÉGreve
@santander_br @Bradesco  @itau @bancosafra  @BancodoBrasi…",S
60,60,"RT @nandomtts: Não aceitarmos desrespeito contra @s trabalhadorxs. 

#AgoraÉGreve
@santander_br @Bradesco  @itau @bancosafra  @BancodoBrasi…",S
61,61,"RT @nandomtts: Não aceitarmos desrespeito contra @s trabalhadorxs. 

#AgoraÉGreve
@santander_br @Bradesco  @itau @bancosafra  @BancodoBrasi…",S
62,62,@metatreze @itau @santander_br @Bradesco @bancopan @BancoOriginal @Bancointer @BancodoBrasil @FEBRABAN #AgoraÉGreve!,N
63,63,RT @bancopan: 😎🌞 Você recebeu um voucher de viagem e pode ir a qualquer lugar do mundo. Para onde iria? 😎🌞,S
64,64,RT @luzeniltoncreto: @nandomtts @s @santander_br @Bradesco @itau @bancosafra @BancodoBrasil @bancopan @BancoOriginal @FEBRABAN @Banrisul Ba…,S
65,65,#AgoraÉGreve @itau @santander_br @Bradesco @bancopan @BancoOriginal @Bancointer @BancodoBrasil @BancoOriginal @FEBRABAN https://t.co/2ePggJqGfe,N
66,66,@bancopan Japão conhecer a ilha de Okinawa,N
67,67,"@SimoneTardim @spbancarios @Bradesco @itau @santander_br @BancodoBrasil @caixaeconomica @bancopan @Citibank @bancosafra Não vamos aceitar. Fenaban apresentou proposta final rebaixada e com perdas, @BancodoBrasil segue querendo diminuir as avaliações da GDP, em 1 semestre ninguém consegue recuperar! #AgoraÉGreve",N
68,68,"@SimoneTardim @spbancarios @Bradesco @itau @caixaeconomica @santander_br @BancodoBrasil @Citi @Citibank @bancosafra @bancopan Não vamos aceitar. Fenaban apresentou proposta final rebaixada e com perdas, @BancodoBrasil segue querendo diminuir as avaliações da GDP, em 1 semestre ninguém consegue recuperar! #AgoraÉGreve",N
69,69,"#AgoraÉGreve 
@spbancarios 
@Bradesco 
@itau 
@caixaeconomica 
@santander_br 
@BancodoBrasil 
@Citi 
@Citibank 
@bancosafra 
@bancopan https://t.co/vlZMp3Ciai",N
70,70,"RT @nandomtts: Não aceitarmos desrespeito contra @s trabalhadorxs. 

#AgoraÉGreve
@santander_br @Bradesco  @itau @bancosafra  @BancodoBrasi…",S
71,71,"#AgoraÉGreve
@spbancarios 
@Bradesco 
@itau 
@santander_br 
@BancodoBrasil 
@caixaeconomica 
@bancopan 
@Citibank 
@bancosafra https://t.co/aGoRPS13TP",N
72,72,"@nandomtts @s @santander_br @Bradesco @itau @bancosafra @BancodoBrasil @bancopan @BancoOriginal @FEBRABAN @Banrisul Fenaban apresentou proposta final rebaixada e com perdas, @BancodoBrasil segue querendo diminuir as avaliações da GDP, em 1 semestre ninguém consegue recuperar! #AgoraÉGreve . Não vamos aceitar!",N
73,73,"@nandomtts @s @santander_br @Bradesco @itau @bancosafra @BancodoBrasil @bancopan @BancoOriginal @FEBRABAN @Banrisul Fenaban apresentou proposta final rebaixada e com perdas, @BancodoBrasil segue querendo diminuir as avaliações da GDP, em 1 semestre ninguém consegue recuperar! #AgoraÉGreve . Não vamos aceitar!",N
