,Palavra,Quantidade de Palavra
0,medíocre,1
1,Roubaram,1
2,problema,1
3,reembolso,0
4,desrespeito,0
5,Nao atende,0
6,Nao consigo,0
7,desisti,0
8,pior cartao,0
9,roubo,0
10,desativaram,0
11,aumentando,0
12,faliu,0
13,reclamando,0
