,0
529,santander_br
530,bradesco
531,bancop
532,bancoorigin
533,bancoint
534,bancodobrasil
535,bancoorigin
536,febrab
537,http
538,nandomt
539,aceitarmo
540,desrespeito
541,contr
542,trabalhadorx
543,agoraégrev
544,santander_br
545,bradesco
546,itau
547,bancosafr
548,bancodobras
549,bancop
550,quero
551,entr
552,minh
553,cont
554,esquec
555,senh
556,busco
557,recurso
558,aparec
559,isso
560,resolv
561,https
562,ozsyclec
563,nandomt
564,aceitarmo
565,desrespeito
566,contr
567,trabalhadorx
568,agoraégrev
569,santander_br
570,bradesco
571,itau
572,bancosafr
573,bancodobras
574,nandomt
575,aceitarmo
576,desrespeito
577,contr
578,trabalhadorx
579,agoraégrev
580,santander_br
581,bradesco
582,itau
583,bancosafr
584,bancodobras
585,bancop
586,egito
587,poi
588,futuro
589,marido
590,mor
591,nandomt
592,spbancarios
593,santander_br
594,bradesco
595,itau
596,bancosafr
597,bancodobrasil
598,bancop
599,bancoorigin
600,febrab
601,banris
602,agoraégrev
603,nandomt
604,spbancarios
605,santander_br
606,bradesco
607,itau
608,bancosafr
609,bancodobrasil
610,bancop
611,bancoorigin
612,febrab
613,banris
614,agoraégrev
615,nandomt
616,santander_br
617,bradesco
618,itau
619,bancosafr
620,bancodobrasil
621,bancop
622,bancoorigin
623,febrab
624,banris
625,agoraégrev
626,https
627,skbfn
628,nandomt
629,aceitarmo
630,desrespeito
631,contr
632,trabalhadorx
633,agoraégrev
634,santander_br
635,bradesco
636,itau
637,bancosafr
638,bancodobras
639,bancop
640,duba
641,ligue
642,cent
643,bancop
644,ligação
645,simples
646,quando
647,alguém
648,atend
649,bancop
650,suíç
651,diogenes_fran
652,metatrez
653,itau
654,santander_br
655,bradesco
656,bancop
657,bancoorigin
658,bancoint
659,bancodobrasil
660,febrab
661,agoraégrev
662,metatrez
663,agoraégrev
664,itau
665,santander_br
666,bradesco
667,bancop
668,bancoorigin
669,bancoint
670,bancodobrasil
671,bancoorigin
672,febrab
673,http
674,bancop
675,vid
676,financeir
677,foss
678,jogo
679,qual
680,fas
681,você
682,estar
683,iniciou
684,fas
685,compra
686,enfr
687,nandomt
688,aceitarmo
689,desrespeito
690,contr
691,trabalhadorx
692,agoraégrev
693,santander_br
694,bradesco
695,itau
696,bancosafr
697,bancodobras
698,nandomt
699,aceitarmo
700,desrespeito
701,contr
702,trabalhadorx
703,agoraégrev
704,santander_br
705,bradesco
706,itau
707,bancosafr
708,bancodobras
709,nandomt
710,aceitarmo
711,desrespeito
712,contr
713,trabalhadorx
714,agoraégrev
715,santander_br
716,bradesco
717,itau
718,bancosafr
719,bancodobras
720,nandomt
721,aceitarmo
722,desrespeito
723,contr
724,trabalhadorx
725,agoraégrev
726,santander_br
727,bradesco
728,itau
729,bancosafr
730,bancodobras
731,metatrez
732,itau
733,santander_br
734,bradesco
735,bancop
736,bancoorigin
737,bancoint
738,bancodobrasil
739,febrab
740,agoraégrev
741,bancop
742,você
743,recebeu
744,vouch
745,viagem
746,pod
747,qualqu
748,lug
749,mundo
750,par
751,ond
752,ir
753,luzeniltoncreto
754,nandomt
755,santander_br
756,bradesco
757,itau
758,bancosafr
759,bancodobrasil
760,bancop
761,bancoorigin
762,febrab
763,banris
764,agoraégrev
765,itau
766,santander_br
767,bradesco
768,bancop
769,bancoorigin
770,bancoint
771,bancodobrasil
772,bancoorigin
773,febrab
774,https
775,epggjqgf
776,bancop
777,japão
778,conhec
779,ilh
780,okinaw
781,simonetardim
782,spbancarios
783,bradesco
784,itau
785,santander_br
786,bancodobrasil
787,caixaeconomic
788,bancop
789,citibank
790,bancosafr
791,vamo
792,aceit
793,fenab
794,apresentou
795,propost
796,fin
797,rebaixad
798,perda
799,bancodobrasil
800,segu
801,querendo
802,diminuir
803,avaliaçõ
804,semest
805,ninguém
806,consegu
807,recuper
808,agoraégrev
809,simonetardim
810,spbancarios
811,bradesco
812,itau
813,caixaeconomic
814,santander_br
815,bancodobrasil
816,cit
817,citibank
818,bancosafr
819,bancop
820,vamo
821,aceit
822,fenab
823,apresentou
824,propost
825,fin
826,rebaixad
827,perda
828,bancodobrasil
829,segu
830,querendo
831,diminuir
832,avaliaçõ
833,semest
834,ninguém
835,consegu
836,recuper
837,agoraégrev
838,agoraégrev
839,spbancarios
840,bradesco
841,itau
842,caixaeconomic
843,santander_br
844,bancodobrasil
845,cit
846,citibank
847,bancosafr
848,bancop
849,https
850,vlzmp
851,cia
852,nandomt
853,aceitarmo
854,desrespeito
855,contr
856,trabalhadorx
857,agoraégrev
858,santander_br
859,bradesco
860,itau
861,bancosafr
862,bancodobras
863,agoraégrev
864,spbancarios
865,bradesco
866,itau
867,santander_br
868,bancodobrasil
869,caixaeconomic
870,bancop
871,citibank
872,bancosafr
873,https
874,agorp
875,nandomt
876,santander_br
877,bradesco
878,itau
879,bancosafr
880,bancodobrasil
881,bancop
882,bancoorigin
883,febrab
884,banris
885,fenab
886,apresentou
887,propost
888,fin
889,rebaixad
890,perda
891,bancodobrasil
892,segu
893,querendo
894,diminuir
895,avaliaçõ
896,semest
897,ninguém
898,consegu
899,recuper
900,agoraégrev
901,vamo
902,aceit
903,nandomt
904,santander_br
905,bradesco
906,itau
907,bancosafr
908,bancodobrasil
909,bancop
910,bancoorigin
911,febrab
912,banris
913,fenab
914,apresentou
915,propost
916,fin
917,rebaixad
918,perda
919,bancodobrasil
920,segu
921,querendo
922,diminuir
923,avaliaçõ
924,semest
925,ninguém
926,consegu
927,recuper
928,agoraégrev
929,vamo
930,aceit
931,nandomt
932,aceitarmo
933,desrespeito
934,contr
935,trabalhadorx
936,agoraégrev
937,santander_br
938,bradesco
939,itau
940,bancosafr
941,bancodobras
942,nandomt
943,santander_br
944,bradesco
945,itau
946,bancosafr
947,bancodobrasil
948,bancop
949,bancoorigin
950,febrab
951,banris
952,banco
953,querem
954,grev
955,fenab
956,apresentou
957,propost
958,fin
959,perda
960,recusad
961,pel
962,categor
963,agor
964,querem
965,imp
966,mai
967,perda
968,comando
969,está
970,reunido
971,nest
972,momento
973,par
974,organiz
975,mobiliz
976,movimento
977,par
978,lut
979,agoraégrev
980,aceitarmo
981,desrespeito
982,contr
983,trabalhadorx
984,agoraégrev
985,santander_br
986,bradesco
987,itau
988,bancosafr
989,bancodobrasil
990,bancop
991,bancoorigin
992,febrab
993,banris
994,https
995,sbrip
996,aceitarmo
997,desrespeito
998,contr
999,trabalhadorx
1000,agoraégrev
1001,santander_br
1002,bradesco
1003,itau
1004,bancosafr
1005,bancodobrasil
1006,bancop
1007,bancoorigin
1008,febrab
1009,banris
1010,https
1011,nandomt
1012,aceitarmo
1013,desrespeito
1014,contr
1015,trabalhadorx
1016,agoraégrev
1017,santander_br
1018,bradesco
1019,itau
1020,bancosafr
1021,bancodobras
1022,aceitarmo
1023,desrespeito
1024,contr
1025,trabalhadorx
1026,agoraégrev
1027,santander_br
1028,bradesco
1029,itau
1030,bancosafr
1031,bancodobrasil
1032,bancop
1033,bancoorigin
1034,febrab
1035,banris
1036,https
1037,iqqeeqtiq
1038,aceitarmo
1039,desrespeito
1040,contr
1041,trabalhadorx
1042,agoraégrev
1043,santander_br
1044,bradesco
1045,itau
1046,bancosafr
1047,bancodobrasil
1048,bancop
1049,bancoorigin
1050,febrab
1051,banris
1052,https
1053,ajtivy
1054,aceitarmo
1055,desrespeito
1056,contr
1057,trabalhadorx
1058,agoraégrev
1059,santander_br
1060,bradesco
1061,itau
1062,bancosafr
1063,bancodobrasil
1064,bancop
1065,bancoorigin
1066,febrab
1067,banris
1068,https
1069,aceitarmo
1070,desrespeito
1071,contr
1072,trabalhadorx
1073,agoraégrev
1074,santander_br
1075,bradesco
1076,itau
1077,bancosafr
1078,bancodobrasil
1079,bancop
1080,bancoorigin
1081,febrab
1082,banris
1083,https
1084,rfvsplbrk
1085,aceitarmo
1086,desrespeito
1087,contr
1088,trabalhadorx
1089,agoraégrev
1090,santander_br
1091,bradesco
1092,itau
1093,bancosafr
1094,bancodobrasil
1095,bancop
1096,bancoorigin
1097,febrab
1098,banris
1099,https
1100,vscyaiv
1101,bancop
1102,faz
1103,jogo
1104,você
1105,deveriam
1106,resolv
1107,problem
1108,pagamento
1109,minh
1110,fatur
1111,cartão
1112,registrado
1113,bancop
1114,fato
1115,continuam
1116,ligando
1117,celul
1118,preciso
1119,faz
1120,par
1121,deix
1122,importunado
1123,bancop
1124,gostar
1125,sab
1126,como
1127,pag
1128,boleto
1129,gerado
1130,pelo
1131,sistem
1132,dia
1133,ut
1134,par
1135,consegu
1136,nov
1137,impressão
1138,estão
1139,parabén
1140,assim
1141,est
1142,facil
1143,ganh
1144,juro
1145,gerado
1146,bancopanlixo
1147,https
1148,bancop
1149,iludem
1150,passam
1151,dia
1152,oferecendo
1153,empréstimo
1154,dav
1155,erro
1156,tod
1157,vez
1158,tentav
1159,concluir
1160,pelo
1161,agor
1162,ofert
1163,bancop
1164,ital
1165,bancop
1166,kakakak
1167,vender
1168,pag
1169,conta
1170,bancop
1171,inglaterr
1172,dificuldad
1173,fal
1174,atend
1175,bancop
1176,contest
1177,compr
1178,cartão
1179,sur
1180,indico
1181,ninguém
1182,bancop
1183,bancop
1184,roubaram
1185,porr
1186,dinheiro
1187,bancop
1188,decidiram
1189,aceit
1190,mesm
1191,senh
1192,usav
1193,entr
1194,dizendo
1195,senh
1196,está
1197,errad
1198,sendo
1199,nunc
1200,mude
1201,coloco
1202,mud
1203,senh
1204,falam
1205,mand
1206,codigo
1207,email
1208,estou
1209,esperando
1210,porr
1211,codigo
1212,simples
1213,roubaram
1214,filho
1215,put
1216,bancop
1217,quero
1218,cas
1219,caralho
1220,abr
1221,ess
1222,porr
1223,dess
1224,cont
1225,tinham
1226,mandado
1227,propost
1228,cartao
1229,credito
1230,quando
1231,abr
1232,tinh
1233,porr
1234,crédito
1235,nenh
1236,quando
1237,decido
1238,us
1239,ess
1240,merd
1241,transfiro
1242,alg
1243,dinheiro
1244,decidem
1245,aceit
1246,mai
1247,senh
1248,muito
1249,puto
1250,bancop
1251,bancop
1252,assim
1253,fácil
1254,ganh
1255,juro
1256,deix
1257,sistem
1258,for
1259,par
1260,cham
1261,chat
1262,pag
1263,dia
1264,apó
1265,dat
1266,escolhid
1267,bancopanlixo
1268,alguém
1269,sab
1270,alg
1271,contato
1272,bancop
1273,atend
1274,fizeram
1275,cartão
1276,consignado
1277,minh
1278,ano
1279,descontando
1280,benefício
1281,del
1282,dia
1283,estou
1284,tentando
1285,entr
1286,contato
1287,alg
1288,atend
1289,banco
1290,simples
1291,consigo
1292,você
1293,apel
1294,par
1295,red
1296,socia
1297,el
1298,fazem
1299,você
1300,engolir
1301,conversinh
1302,alguém
1303,entr
1304,contato
1305,você
1306,ninguém
1307,nunc
1308,entr
1309,fujam
1310,bancop
1311,camis
1312,bancop
1313,busão
1314,ganhe
1315,domingao
1316,povo
1317,perguntando
1318,ond
1319,ficav
1320,agênc
1321,quero
1322,dinheiro
1323,publ
