,Palavra,Quantidade de Palavra
0,problema,8
1,roubo,1
2,reclamando,1
3,medíocre,0
4,reembolso,0
5,desrespeito,0
6,Nao atende,0
7,Nao consigo,0
8,Roubaram,0
9,desisti,0
10,pior cartao,0
11,desativaram,0
12,aumentando,0
13,faliu,0
